Pid,Name,Family,Type,Status,Laddr.IP,Laddr.Port,Raddr.IP,Raddr.Port,Timestamp,FlowId,ClientId,Fqdn
1572,svchost.exe,IPv4,TCP,LISTEN,0.0.0.0,135,0.0.0.0,0,2026-01-16T07:49:18Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
4,System,IPv4,TCP,LISTEN,10.19.234.77,139,0.0.0.0,0,2026-01-16T12:59:01Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
4,System,IPv4,TCP,LISTEN,172.18.224.1,139,0.0.0.0,0,2026-01-16T13:01:02Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
4,System,IPv4,TCP,LISTEN,192.168.56.1,139,0.0.0.0,0,2026-01-16T07:49:17Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
4,System,IPv4,TCP,LISTEN,192.168.64.1,139,0.0.0.0,0,2026-01-16T12:58:54Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
4,System,IPv4,TCP,LISTEN,192.168.217.1,139,0.0.0.0,0,2026-01-16T12:59:04Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
5776,vmware-authd.exe,IPv4,TCP,LISTEN,0.0.0.0,902,0.0.0.0,0,2026-01-16T07:49:19Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
5776,vmware-authd.exe,IPv4,TCP,LISTEN,0.0.0.0,912,0.0.0.0,0,2026-01-16T07:49:19Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
4080,svchost.exe,IPv4,TCP,LISTEN,0.0.0.0,5040,0.0.0.0,0,2026-01-16T13:28:25Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
4924,elastic-agent.exe,IPv4,TCP,LISTEN,127.0.0.1,6789,0.0.0.0,0,2026-01-16T07:49:21Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
4924,elastic-agent.exe,IPv4,TCP,ESTAB,127.0.0.1,6789,127.0.0.1,49728,2026-01-16T07:49:22Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
4924,elastic-agent.exe,IPv4,TCP,ESTAB,127.0.0.1,6789,127.0.0.1,51889,2026-01-16T12:18:51Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
4924,elastic-agent.exe,IPv4,TCP,ESTAB,127.0.0.1,6789,127.0.0.1,51871,2026-01-16T12:18:48Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
4924,elastic-agent.exe,IPv4,TCP,LISTEN,127.0.0.1,6791,0.0.0.0,0,2026-01-16T07:49:21Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
4924,elastic-agent.exe,IPv4,TCP,ESTAB,127.0.0.1,6791,127.0.0.1,50861,2026-01-16T13:28:24Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
16484,velociraptor-v0.75.1-windows-amd64.exe,IPv4,TCP,LISTEN,127.0.0.1,8000,0.0.0.0,0,2026-01-16T13:06:27Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
16484,velociraptor-v0.75.1-windows-amd64.exe,IPv4,TCP,ESTAB,127.0.0.1,8000,127.0.0.1,50866,2026-01-16T13:28:25Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
16484,velociraptor-v0.75.1-windows-amd64.exe,IPv4,TCP,ESTAB,127.0.0.1,8000,127.0.0.1,57265,2026-01-16T13:28:25Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
16484,velociraptor-v0.75.1-windows-amd64.exe,IPv4,TCP,ESTAB,127.0.0.1,8000,127.0.0.1,57272,2026-01-16T13:28:26Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
16484,velociraptor-v0.75.1-windows-amd64.exe,IPv4,TCP,ESTAB,127.0.0.1,8000,127.0.0.1,57284,2026-01-16T13:28:26Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
16484,velociraptor-v0.75.1-windows-amd64.exe,IPv4,TCP,ESTAB,127.0.0.1,8000,127.0.0.1,58808,2026-01-16T13:32:15Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
16484,velociraptor-v0.75.1-windows-amd64.exe,IPv4,TCP,ESTAB,127.0.0.1,8000,127.0.0.1,60169,2026-01-16T13:28:27Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
16484,velociraptor-v0.75.1-windows-amd64.exe,IPv4,TCP,LISTEN,127.0.0.1,8001,0.0.0.0,0,2026-01-16T13:06:27Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
